Intrinio_source_vendor_name,match,Nasdaq_source_vendor_name
Adobe Systems Inc,/m/0vlf,ADOBE SYSTEMS INCORPORATED 
Apigee Corp,/g/11c5wmmh5k,APIGEE CORPORATION 
APPDYNAMICS INC,/m/0h55dn3,APPDYNAMICS INC 
Appian Corp,/m/039qvkf,APPIAN CORPORATION 
ARIBA INC,/m/0240kd,ARIBA INC 
ARIBA INC,/m/0240kd,Ariba Inc 
BMC SOFTWARE INC,/m/04gnhw,BMC SOFTWARE INC  
CONCUR TECHNOLOGIES INC,/m/02rtvpw,CONCUR TECHNOLOGIES INC  
Coupa Software Inc,/m/03cp_t5,COUPA SOFTWARE INC  
Informatica Corp,/m/0cvrm5,INFORMATICA LLC 
Mulesoft Inc,/m/07s5jcv,MULESOFT INC 
NetSuite Inc,/m/05n952,NETSUITE INC 
Okta Inc,/g/11gg_8lg6t,OKTA INC 
Onstream Media Corp,/g/1ywqbqx6n,ONSTREAM MEDIA 
Qlik Technologies Inc,/m/0bqs19,QLIK TECHNOLOGIES INC 
Tangoe Inc,/g/11c73t2dkl,TANGOE INC  
Arista Networks Inc,/m/04ydzsv,ARISTA NETWORKS INC 
AT&T Inc,/m/08z129,AT&T 
AT&T Inc,/m/08z129,AT&T WORLDWIDE TELECOMMUNICATIONS SERVIC 
AT&T Inc,/m/08z129,AT&T Global Network Services Nederland B 
Automatic Data Processing Inc,/m/04hshv,ADP CANADA COMPANY 
Automatic Data Processing Inc,/m/04hshv,ADP NEDERLAND B V  
Automatic Data Processing Inc,/m/04hshv,ADP LLC 
Blackbaud Inc,/m/04d9v1,Blackbaud Inc  
Brightcove Inc,/m/02h_92l,BRIGHTCOVE INC  
BT Group PLC,/m/01g_3,British Telecommunications Plc 
CA Inc,/m/026n9q,CA INC  
Callidus Software Inc,/m/02_9mj8,CALLIDUS SOFTWARE INC 
CenturyLink Inc,/m/07sw45,CENTURYLINK 
Cogent Communications Holdings Inc,/m/086clr,Cogent Communications Inc  
Cogent Communications Holdings Inc,/m/086clr,COGENT COMMUNICATIONS UK LIMITED 
Cognizant Technology Solutions Corp,/m/03bf9h,COGNIZANT TECHNOLOGY 
Datawatch Corp,/m/011smmbb,Datawatch Corp 
Dun & Bradstreet Corp,/m/04q0c3,DUN & BRADSTREET INC  
EPAM Systems Inc,/m/0dlnrc,EPAM SYSTEMS INC 
Facebook Inc,/m/0hmyfsv,FACEBOOK INC  
FactSet Research Systems Inc,/m/0g73q4,FACTSET RESEARCH SYSTEMS INC  
FireEye Inc,/m/05b_8h7,FIREEYE INC 
Gartner Inc,/m/01l4jh,GARTNER GROUP 
Gartner Inc,/m/01l4jh,Gartner Nederland BV 
GoDaddy Inc,/m/03zjn4,GODADDY COM 
Imperva Inc,/m/02sjyv_,IMPERVA INC 
Imperva Inc,/m/02sjyv_,Imperva Inc 
International Business Machines Corp,/m/03sc8,IBM Service AV System 
International Business Machines Corp,/m/03sc8,IBM CORPORATION 
Iron Mountain Inc,/m/02rdq1m,Iron Mountain 
Iron Mountain Inc,/m/02rdq1m,IRON MOUNTAIN CANADA 
Iron Mountain Inc,/m/02rdq1m,IRON MOUNTAIN 
Iron Mountain Inc,/m/02rdq1m,IRON MOUNTAIN OFF-SITE 
Keysight Technologies Inc,/m/012hddvv,KEYSIGHT TECHNOLOGIES INC 
LivePerson Inc,/m/03p2kjq,LIVEPERSON INC 
Microsoft Corp,/m/04sv4,Microsoft Corporation 
Monotype Imaging Holdings Inc,/m/03p3pwx,MONOTYPE IMAGING INC 
Morningstar Inc,/m/04xn05,MORNINGSTAR INC  
NetScout Systems Inc,/m/09t1q1,NETSCOUT SYSTEMS INC  
Orange SA,/m/0jd05,Orange SA 
PLDT Inc,/m/06l5x2,PLDT 
Qualys Inc,/m/02r2qzd,QUALYS INC 
Red Hat Inc,/m/02h5b_x,RED HAT INC  
Salesforce.com Inc,/m/07btr5,SALESFORCE COM 
SAP SE,/m/01pf4l,SAP SE 
Splunk Inc,/m/05nzwm,SPLUNK INC 
Symantec Corp,/m/01zpmq,SYMANTEC CORPORATION 
TechTarget Inc,/m/09c7jb,TechTarget 
Telus Corp,/m/0154cw,TELUS COMMUNICATIONS 
Twilio Inc,/m/0h1bs6j,TWILIO INC 
Upland Software Inc,/g/11bbx02m_r,UPLAND SOFTWARE INC 
Verisign Inc,/m/01vbkb,VERISIGN INC 
Vodafone Group PLC,/m/02d6ph,Vodafone 
Vodafone Group PLC,/m/02d6ph,Vodafone Ltd  
Workday Inc,/m/02rf_68,WORKDAY INC 
Workiva Inc,/m/0113m1rd,WORKIVA INC  
Zayo Group Holdings Inc,/m/0j67hm9,ZAYO GROUP HOLDINGS INC 
Zendesk Inc,/m/0wkm4pl,ZENDESK INC  
Akamai Technologies Inc,/m/02fqbt,AKAMAI TECHNOLOGIES INC  
Advanced Micro Devices Inc,/m/0z64,THE AMD PARTNERSHIP LTD 
BROADVIEW NETWORKS HOLDINGS INC,/m/0gdn6g,BROADVIEW NETWORKS 
EMC Corp,/m/02khrk,EMC CORPORATION 
Equinix Inc,/m/07btnq,EQUINIX INC  
Level 3 Communications Inc,/m/061c4p,LEVEL 3 COMMUNICATIONS 
U S WIRELESS CORP,/m/09c7w0,US CHAMBER OF COMMERCE 
U S WIRELESS CORP,/m/09c7w0,U S  ASSOCIATION OF FORMER MEMBERS OF 
U S WIRELESS CORP,/m/09c7w0,AMERICAN OFFICE OF GAITHERSBURG INC 
U S WIRELESS CORP,/m/09c7w0,US Disbursing Officer Symbol 8769 
BRITISH TELECOMMUNICATIONS PLC,/m/01g_3,British Telecommunications Plc 
ABB LTD,/m/01bs_z,ABB GROUP 
Apptio Inc,/m/0100lkxx,APPTIO INC 
DOCUSIGN INC,/m/0cp08cw,DOCUSIGN INC 
MongoDB Inc,/m/0gyv7_f,MONGODB INC 
PITNEY BOWES INC,/m/06dkr2,PITNEY BOWES GLOBAL 
PITNEY BOWES INC,/m/06dkr2,Pitney Bowes Svenska AB 
PITNEY BOWES INC,/m/06dkr2,PITNEY BOWES CANADA 
PITNEY BOWES INC,/m/06dkr2,PITNEY BOWES INC 
Pivotal Software Inc,/m/0w1fyfw,PIVOTAL SOFTWARE INC 
AT&T LATIN AMERICA CORP,/m/08z129,AT&T 
AT&T LATIN AMERICA CORP,/m/08z129,AT&T WORLDWIDE TELECOMMUNICATIONS SERVIC 
AT&T LATIN AMERICA CORP,/m/08z129,AT&T Global Network Services Nederland B 
TELENOR ASA,/m/0j89k,Telenor A  S 
TELENOR ASA,/m/0j89k,Telenor Mobil AS 
TELENOR ASA,/m/0j89k,Telenor 
TELIASONERA AB,/m/07cxn,Telia Lietuva AB 
TELSTRA CORP LTD,/m/07rnx,Telstra Corporation Limited 
VODAFONE GROUP PUBLIC LTD CO,/m/02d6ph,Vodafone 
VODAFONE GROUP PUBLIC LTD CO,/m/02d6ph,Vodafone Ltd  
AKAMAI TECHNOLOGIES,/m/02fqbt,AKAMAI TECHNOLOGIES INC  
COMPUGEN INC,/m/04y6n4g,COMPUGEN INC  
SALESFORCE.COM,/m/07btr5,SALESFORCE COM 
COGNIZANT,/m/03bf9h,COGNIZANT TECHNOLOGY 
DATAWATCH,/m/011smmbb,Datawatch Corp 
EATON CORPORATION,/m/01qj3l,EATON CORPORATION 
GODADDY.COM,/m/03zjn4,GODADDY COM 
IBM,/m/03sc8,IBM Service AV System 
IBM,/m/03sc8,IBM CORPORATION 
ORACLE AMERICA INC,/g/11c1x5nw2q,ORACLE AMERICA INC  
QLIK TECH INC,/m/0bqs19,QLIK TECHNOLOGIES INC 
SOLARWINDS,/m/0404fs4,SOLARWINDS INC 
SYMANTEC CORPORATION,/m/01zpmq,SYMANTEC CORPORATION 
MONOTYPE IMAGING INC,/m/03p3pwx,MONOTYPE IMAGING INC 
